,PROFILE,X,Y,LONG,LAT,Z,S
2172,Y,-6296.2966278464655,-2981.440950597272,-56.56059494144682,-26.00881144959354,-420.34388193020624,1.0
944,AP,-6438.36403996612,-2981.20081593153,-57.83680821827075,-26.006862176933147,-439.99369312710587,1.0
425,AG,-5721.276059239384,-2979.239725977019,-51.39509728681844,-25.9909419725305,-221.20934731590532,1.0
86,AB,-5856.935220904779,-2978.095740562509,-52.613744270367086,-25.9816540475492,-219.67955678395379,1.0
1038,AS,-6691.343480155344,-2977.351107285029,-60.10936119517054,-25.97560803169017,-455.20795627569623,1.0
2237,Z,-6145.738247081633,-2976.907242571927,-55.20810599551346,-25.972003942964314,-239.83194694616526,1.0
365,AF,-5642.356263154849,-2975.7023562493896,-50.686148696395094,-25.962219954987873,-192.0598016850056,1.0
304,AE,-5562.961851313216,-2974.154047236868,-49.97293656008491,-25.949646078738272,-195.31061326377286,1.0
2119,X,-6411.892509853769,-2973.7653322467568,-57.5990104173312,-25.946489096338134,-428.98955169982924,1.0
30,AA,-5993.573276360029,-2973.672654840039,-53.841184806445305,-25.945736396135104,-231.41955328325776,1.0
820,AM,-6198.880135140461,-2973.5581875627677,-55.6854876982156,-25.944806717931513,-233.45539822555793,1.0
1004,AR,-6615.09798257914,-2973.4686655459946,-59.42443623699054,-25.944079634510647,-456.983563424325,1.0
552,AI,-5885.709034876287,-2972.4281464689066,-52.87222383909725,-25.935628373072017,-219.99075933152358,1.0
2173,Y,-6264.632665900043,-2969.91680500152,-56.276152731724316,-25.915228333822004,-408.21336421318364,1.0
1070,AT,-6783.865409417166,-2969.8863120705355,-60.94049982689175,-25.91498061280517,-439.2577182247475,1.0
233,AD,-5484.770798682512,-2969.662879284009,-49.27053438348935,-25.913165454843238,-199.73869002094614,1.0
765,AL,-6124.702953198397,-2968.080623110777,-55.0191427355009,-25.90031046838793,-226.31846504527525,1.0
973,AQ,-6536.258421941175,-2967.987734381199,-58.71620841384701,-25.899555753060017,-462.97228703083624,1.0
699,AK,-6044.992421384533,-2967.5101366988542,-54.30309084516401,-25.89567522364313,-224.6714052219218,1.0
87,AB,-5823.410339891576,-2965.9130382657463,-52.3125851402426,-25.882697700772997,-235.71562362963616,1.0
487,AH,-5817.285745598654,-2965.368570853041,-52.25756697361897,-25.87827319911019,-235.88337431412072,1.0
624,AJ,-5979.7788196542915,-2963.258686031779,-53.71726709349641,-25.861126074610247,-224.57116244379029,1.0
868,AN,-6297.6328823466965,-2962.4211311580234,-56.572598719857126,-25.854318532823573,-430.5537388036499,1.0
1099,AU,-6880.974886080938,-2962.127434188929,-61.812849098090894,-25.85193130657186,-428.7598609281434,1.0
